q0,beta,alpha,error
0.8,2.0,0.1,13.036911325314282
0.8,2.0,0.3,12.915458919615002
0.8,2.0,0.5,12.764149102056487
0.8,2.0,0.7,13.366219920435235
0.8,2.0,0.9,12.51654301736035
0.8,2.5,0.1,12.240330666585404
0.8,2.5,0.3,12.531822896701964
0.8,2.5,0.5,11.7771695110382
0.8,2.5,0.7,11.95360027353266
0.8,2.5,0.9,11.615779781778805
0.8,3.0,0.1,11.871123241924145
0.8,3.0,0.3,12.265446517049039
0.8,3.0,0.5,11.686594509301548
0.8,3.0,0.7,11.691336813661733
0.8,3.0,0.9,11.336429855004006
0.8,3.5,0.1,11.725018511868079
0.8,3.5,0.3,11.819936451928529
0.8,3.5,0.5,11.724615264365447
0.8,3.5,0.7,11.550737420544673
0.8,3.5,0.9,11.332428025527554
0.8,4.0,0.1,11.882521592244881
0.8,4.0,0.3,11.28924648278527
0.8,4.0,0.5,11.750761767354104
0.8,4.0,0.7,11.649534497870256
0.8,4.0,0.9,11.70620025346858
0.8,4.5,0.1,11.21736890525868
0.8,4.5,0.3,11.661900640967248
0.8,4.5,0.5,11.786370045867711
0.8,4.5,0.7,11.589572979182963
0.8,4.5,0.9,11.269463366017836
0.8,5.0,0.1,11.744857597895358
0.8,5.0,0.3,11.634574943908094
0.8,5.0,0.5,11.38782718899985
0.8,5.0,0.7,11.790219862928131
0.8,5.0,0.9,11.023125299380867
0.9,1.0,0.1,13.179705613902225
0.9,1.0,0.3,12.712230257119886
0.9,1.0,0.5,12.73964446499186
0.9,1.0,0.7,12.113346761050316
0.9,1.0,0.9,12.933798676883113
0.9,1.5,0.1,12.653260723978725
0.9,1.5,0.3,12.67918936749545
0.9,1.5,0.5,12.260800406001184
0.9,1.5,0.7,11.940989536099506
0.9,1.5,0.9,12.146673741588229
0.9,2.0,0.1,12.293060639867345
0.9,2.0,0.3,12.029253122255064
0.9,2.0,0.5,12.39042417737224
0.9,2.0,0.7,11.719038246501649
0.9,2.0,0.9,11.893061826674936
0.9,2.5,0.1,12.575939374264866
0.9,2.5,0.3,12.289461502585052
0.9,2.5,0.5,11.837368320562904
0.9,2.5,0.7,12.08452250864647
0.9,2.5,0.9,12.023636715521324
0.9,3.0,0.1,12.150497202558963
0.9,3.0,0.3,12.123244861430827
0.9,3.0,0.5,12.639033228364399
0.9,3.0,0.7,11.986594682642062
0.9,3.0,0.9,11.388427679038982
0.9,3.5,0.1,12.172036903235393
0.9,3.5,0.3,12.17064995458921
0.9,3.5,0.5,12.362105955201011
0.9,3.5,0.7,11.97134386472238
0.9,3.5,0.9,11.714122729169143
0.9,4.0,0.1,11.976872140256623
0.9,4.0,0.3,11.668143332900847
0.9,4.0,0.5,11.893820383061646
0.9,4.0,0.7,11.889944086982014
0.9,4.0,0.9,11.890711790000967
0.9,4.5,0.1,12.54400939430034
0.9,4.5,0.3,11.885776036356152
0.9,4.5,0.5,12.37546351890156
0.9,4.5,0.7,12.1595646544395
0.9,4.5,0.9,11.774075661566288
0.9,5.0,0.1,12.343699297206953
0.9,5.0,0.3,12.08502568123607
0.9,5.0,0.5,12.196186620083976
0.9,5.0,0.7,13.328030797246
0.9,5.0,0.9,11.78157699019911
